阿鼻地獄　極端痛苦	"Avici Hell; 
Extreme sufferings."
具足知見	Have Sufficient Understanding and Views
絕處逢生　吉人天相	"To Come Back from Death's Door; 
Heaven protects the good."
掘地覓天　愚痴透頂	"Digging the Ground to Find the Sky; 
Utterly foolish."
覺華天心	Awakened Flower of the Mind
覺悟	Enlightenment
覺行圓滿　成佛作祖	"Perfecting the Deeds of Enlightenment; 
Attainment of Buddhahood."
覺者慈心	Compassionate Mind of the Awakened One
君子交誼	Friendship Among the Noble Ones
開發心田	Open and Develop the Field of the Mind
開花結果　因緣果滿	"Blossom and Fruit; 
The completion of cause, condition, and effect."
開口見膽　說話坦誠	"Having the Guts to Speak Out; 
Outspoken."
開門見山　直截了當	"To Come Straight to the Point; 
Direct and precise."
開山祖師　首創之人	"Founding Master; 
The founder of a monastery."
開示悟入　感應道交	"Disclosing, Indicating, Awakening, Entering; 
Resonating with the Buddha."
開心悟入	Open the Mind and Awakening Enters
開宗明義　揭示主旨	"Unveiling the Essential; 
Revealing the gist."
看風使帆　順乎自然	"Go Where the Wind Blows; 
To follow the course of nature."
看海的日子心胸寬廣	A Flower in the Raining Night: magnanimity
看孔著楔　應機說法	"Made to Measure; 
Teaching the Dharma according to aptitude."
看破紅塵　參透世情	"See Past Worldly Affairs; 
Thorough understanding of matters."
看破世界彼此放下	Seeing Through the World: letting go
康定情歌胡人風光	Kangding Love Song: foreign love
刻骨銘心　永難忘懷	"Etched in One's Memory; 
Difficult to forget."
刻舟求劍　想法錯誤	"Marking the Boat to Locate the Sword; 
Erroneous way of thinking."
渴鹿逐燄　迷真逐妄	"A Thirsty Deer Chasing Fire; 
Lost to the truth and chasing delusions."
剋期取證　限時成就	"Set a Deadline for Attainment; 
Achieved in time."
"空
須彌橫太虛，大地浮香海。
六塵蔽性天，四大遍法界。
劫火洞然時，此箇壞不壞。
何必待燒盡，然後無障礙。"	"Emptiness
Mount Sumeru penetrates the great vacuity,
The Earth emerges from the fragrant ocean.
The Six Faculties conceal one’s intrinsic nature,
The Four Elements pervade the Dharma realm. 
When the inferno at the end of the age grows,
These will be eliminated, and those not. 
Why await till all has burnt away,
To realize no hindrance exists?"
空谷傳聲　不會變樣	"Echoes in an Empty Valley; 
Never distorted."
空花水月　海市蜃樓	"Flowers in the Sky, Moon in the Water; 
All delusions."
空即是色　空有不異	"Emptiness is Form; 
Non-duality of emptiness and existence."
空間	Space
空空如也　一切皆全	"Emptiness as It Is; 
Encompasses everything."
空無為樂	Find Joy in Emptiness and Nothingness
空有不二	Non-duality of Emptiness and Existence
空有不二　緣起中道	"Non-Duality of Emptiness and Existence; 
Dependent Origination and the Middle Way"
空中樓閣　脫離現實	"Castle in the Sky; 
Out of touch with reality."
口碑載道　眾人讚歎	"A Road Filled with Praise; 
Lauded by all."
口出蓮花　妙語如珠	"Lotuses Blossoming from the Mouth; 
Wondrous words."
口出妙香	Speak Words of Fragrance
苦海茫茫　難以出離	"The Vast Sea of Suffering; 
Escape is difficult."
苦海無邊　回頭是岸	"Boundless is the Sea of Suffering; 
Head back to shore."
苦空無常　人間真理	"Suffering, Emptiness, and Impermanence; 
The Truths of life."
苦口婆心　反復勸說	"Kind Intended Advice; 
Earnest and repeated."
苦中作樂　安貧樂道	"Find Joy in Suffering; 
Make peace with poverty, and take joy in walking the Way."
枯木逢春　再現生機	"Spring Comes Upon a Withered Tree; 
The return of vitality."
枯木龍吟　總有希望	"Every Cloud Has a Silver Lining; 
There is always hope."
快樂天堂生命平等	Happy Paradise: all lives are equal
快馬加鞭　火速前進	"Spur on the Flying Horse; 
Proceed at top speed."
寬宏	A Magnificently Broad Mind
寬厚	A Broad and Kind Mind
寬厚處事	Be Kind When Dealing With Matters
寬厚仁愛	Generosity and Kindness
寬能養量	A Broadmind Fosters Capacity
寬恕	Forgiveness
寬恕為心	A Forgiving Mind
寬心	Broadminded
廓然大悟　頓悟諸法	"Sudden and Great Enlightenment; 
Realization of the Dharma."
辣妹子應改輕盈溫柔	Spicy Girl: who should be soft and gentle
來去吉祥	To Come and Go in Auspiciousness
"來時無影去無踪，
去與來時事一同；
何須更問浮生事，
只此浮生是夢中。"	"No traces upon coming, no traces upon going, 
Both coming and going are the same;
Why inquire further into this transient life?
After all, this transient life is but just a dream."
蘭花草開花心滿意足	Orchid: joyful and perfectly content
狼到南方思念草原	Wolves Coming South: recalling the grassland
老病死生　人生四相	"Aging, Sickness, Death, and Birth; 
Four phenomena in life."
老二人生	A Lifetime of Being Second
老老大大　年事已高	"Old and Senior; 
Advanced in years."
老婆心切　用心良苦	"Like an Old Woman's Constant Reminder; 
Showing great consideration."
老僧入定　如如不動	"Old Monk in Meditative Concentration; 
Unmoved as such."
樂己知命	Accept One's Own Life Joyfully
樂善好施　予人喜樂	"Kind and Charitable; 
Give others joy."
樂山樂水仁者居  有情有義智人心	"Pleasure in the Mountains and Waters is the Place of the Benevolent
Sentiment and Righteousness are in the Mind of the Wise"
樂天知命	Be Optimistic and Satisfied with Life
雷大雨小　虛張聲勢	"Loud Thunder, Little Rain; 
A bluff."
淚的小花不再說話	Flower of Tears: talking no more
冷灰爆豆　用錯方法	"Frying Beans with Cold Ashes; 
Applying the wrong methods."
冷暖自知　自我了解	"Only One Knows Whether It's Hot or Cold; 
To know first-hand.
"
冷若冰霜　神情嚴肅	"Cold as Ice; 
A serious look. "
冷言冷語　譏刺嘲諷	"Cold Words; 
Sarcastic comments. "
楞嚴經宗通	Mastering the School Tenets of the Shurangama Sutra
立地成佛	Immediate Attainment of Buddhahood
立地成佛　棄惡從善	"Immediate Attainment of Buddhahood; 
To turn from evil to virtue."
立定腳跟	Set One's Foot Firmly on the Ground
立定腳跟　認真務實	"Down to Earth; 
Earnest and pragmatic."
立功立德立言	Establish One's Merit, Virtue, and Teachings
立功有心	Aspire to Establish Merits
立雪斷臂　真心求道	"Severing an Arm in the Snow; 
Determination in seeking the Way."
理法為本	Principle and the Dharma Are the Basis
理所不容　法制難逃	"Non-Conforming to Principles; 
Inescapable justice."
禮敬諸佛　人格尊重	"Pay Homage to All Buddhas; 
Respect all beings."
利和同均　有福同享	"Harmony of Benefits; 
To share wealth equally."
利樂有情	To Bring Benefit and Joy to Sentient Beings
利樂有情　給人歡喜	"To Bring Benefit and Joy to Sentient Beings; 
Give others joy."
利衰苦樂　得失窮通	"Gain, Loss, Sorrow, Joy; 
Failure, success, gain, and loss."
利他無價	The Priceless Intention of Benefiting Others
離鄉背井　在外奔波	"To Be Away from Home; 
To venture out."
蓮邦詩選	Selection of Lotus Land Poems
聯燈會要	Compendium of Five Lamps
量大福大	The Greater the Mind, the Greater the Fortune
兩刃相傷　彼此受害	"Sword at Each Other's Throats; 
Mutual harm."
兩刃相向　互不退讓	"At Sword's Point; 
Mutual unwillingness to yield."
梁溪集	Collection of Liang Xi
梁祝往來因緣不具	The Butterfly Lovers: undestined love
了了分明	Perfectly Clear
了了分明　覺道於心	"Perfectly Clear; 
A mind awakened to the Way."
了然於心	Clear Understanding
了無罣礙　沒有牽絆	"Completely Free of Worries; 
Without obstacles."
林間錄	Record of Training in the Forest
臨渴掘井　時不我待	"To Dig a Well Only When Thirsty; 
Time waits for no one."
靈山勝境　佛國美景	"Vulture Peak; 
A magnificent Buddha land."
羚羊掛角　不留痕跡	"Antelope Hanging on a Tree by its Horns; 
Leaving no trace."
六塵供呈獻衣食美香	Six Offerings: sincerely offering fine food and clothing
六道輪迴　業報流轉	"Six Realms of Cyclic Existence; 
Continuous arising of karmic retribution."
六度萬行	All Practices Embodied Within the Six Paramitas
六耳不傳　秘密相授	"Nothing Will Leave These Walls; 
Secret passing of knowledge."
六根共修	Simultaneous Cultivation of the Six Senses
六根互用	Cooperation Between the Six Sense Organs
六根清淨　身心無染	"Purity of the Six Senses; 
Untainted body and mind."
六和清淨	Purity Maintained Through the Six Points of Reverent Harmony
六神無主　心煩意亂	"Utter Stupefaction; 
A lost and panicking mind."
六時吉祥	The Six Periods of Auspiciousness
六時吉祥　晝夜平安	"Six Periods of Auspiciousness; 
To be at peace day and night."
六祖壇經	Platform Sutra of the Sixth Patriarch
六祖無相頌指導修行	The Formless Gatha of Sixth Patriarch: guide to spiritual practice
留惑潤生　菩薩悲心	"Retaining Defilement to Liberate Living Beings; 
A bodhisattva's compassion."
琉璃世界	Lapis Lazuli World
柳綠花紅　諸法實相	"All the Colors of Nature; 
The true essence of all phenomena."
流浪天涯三兄妹不必流淚	Three Wandering Siblings: no need to shed tears
流水年華唱到白頭	Years Flow as Water: till old age
"流水下山非有意，
片雲歸洞本無心；
人生若能如雲水，
鐵樹開花遍界春。"	"Water streams down a mountain without intention,
A cloud floats into a cave without a conscious mind;
If life can be like cloud and water,
Iron trees will blossom and spring will pervade."
流星人生不能等待	Shooting Star: life does not wait
龍鳳呈祥人間天堂	Dragon and Phoenix Bringing Prosperity: heaven on Earth
龍華三會　共結來緣	"Three Dragon-Flower Assemblies; 
Creating a future filled with good affinities."
龍蛇混雜　賢愚不分	"Dragons Commingled with Snakes; 
Unable to distinguish sages from fools."
龍象蹴踏　調伏根識	"Like the Trample of a Dragon Elephant; 
Subduing the root consciousness."
龍吟虎嘯　氣勢盛大	"Dragons and Tigers Roaring; 
Strong vigor."
樓台會相聚生死離別	Meeting at the Tower: joyful union, sorrowful parting
露出馬腳　好事敗壞	"Give the Game Away; 
Plan ruined."
綠島小夜曲冤沉大海	Serenade of Green Island: fathomless sea of sorrow
鹿港小鎮是我故鄉	Lukang, the Little Town: my hometown
路見不平　見義勇為	"Stand Up Against Injustice; 
Act bravely for a just cause."
驢唇馬嘴　胡說瞎扯	"Lips of a Donkey, Mouth of a Horse; 
Recklessly spewing nonsense."
驢鳴犬叫　文詞拙劣	"Like Donkeys Braying and Dogs Barking; 
Awkward and inept communication skills."
驢前馬後　任人使喚	"Before the Donkey, Behind the Horse; 
Being ordered around."
驢胎馬腹　不合正道	"Womb of a Donkey, Stomach of a Horse; 
Deviated from the right path."
廬山真面　本來面目	"The True Face of Mount Lu; 
Original face."
魯魚亥豕　烏焉為馬	"Donkey and Mules are not Horses; 
To mistake similar images."
綸音佛語　心悅成道	"Imperial Edict and Buddha's Words; 
Enlightened with a joyous mind."
落二落三　已失真義	"Not From the Original Source; 
Deviating from the Truth."
落花有意　順其自然	"Falling Petals Follow the Stream; 
To go with the flow."
落實人生	A Life of Practicality
落湯螃蟹　手忙腳亂	"Like Crabs in Boiling Soup; 
Be in a spin."
羅漢驅龍　神通廣大	"The Arhat Expelling the Dragon; 
Great supernatural power."
媽媽請您也保重母愛如天	Mother, Please Take Care: a mother’s love
買帽相頭　權宜善巧	"Tailor-Made; 
Expedient means."
賣湯圓小販供給飽餐	Selling Rice Balls: peddler offering food
漫步人生路悲喜無助	Stroll on The Road of Life: sorrowful and helpless
滿江紅悲壯精忠報國	The Whole River Red: moving and tragic loyalty
盲龜浮木　難遭難遇	"A Blind Turtle Pokes through the Hole of a Floating Plank; 
Once in a blue moon."
盲人摸象　一知半解	"Blind Men Touching an Elephant; 
To know only parts."
忙裏偷閒　抽出時間	"A Moment of Leisure in a Busy Life; 
Make some time for yourself."
忙是營養　快樂人生	"Keeping Busy is Nutritious; 
A happy life."
芒鞋竹杖　參學問道	"Straw Sandals, Bamboo Staff; 
Chan practitioners seeking the Way."
貓的生活與人為伴	Cat: a cat’s daily life as companion to humans
玫瑰玫瑰我愛您心頭滋味	Rose, Rose, I Love You: feelings of the heart
梅花芳香人格高下	Plum Blossom: elevated personality
美化因緣	Beautify Causes and Conditions
美人美心	Beautify One's Appearance and Heart
眉毛廝結　共相和合	"Joined at the Hip; 
On the same wavelength."
眉鬚墮落　果報現前	"Losing One's Hair and Brow; 
Karmic retributions coming forth."
門裏門外	Inside and Outside the Door
門裡門外	Inside and Outside the Door
夢幻泡影　虛無飄渺	"Dream, Illusion, Bubble, and Shadow; 
Vaguely discernable."
夢駝鈴響起故鄉難忘	Dream Camel Bells: hometown nostalgia
夢向何處尋黃梁思裏	Where Is the Dream: just a dream
夢中說夢　虛無不實	"A Dream within a Dream; 
Not real."
夢中有夢夜鶯也夢	Dream: dream within a dream, even for a nightingale
密護根門	Guard the Sensory Faculties Closely
密在汝邊　道在無言	"Always Close to You; 
The Way is inexpressible."
迷頭認影　執著妄相	"Chasing Shadows in Ignorance; 
Attachment to delusions."
迷悟在人	There is a Choice Between Ignorance and Enlightenment
迷悟之間　苦樂關鍵	"Between Ignorance and Enlightenment; 
A turning point of suffering and happiness."
面壁功深　等待機緣	"Facing the Wall in Deep Meditation; 
Great achievement awaits the right moment."
面面相覷　不知所措	"Looking at Each Other in Dismay; 
At a loss."
面授機宜　傳與策略	"Personalized Instruction; 
Passing on strategies and methods."
妙	Wonderful
妙法蓮華	Lotus of the Wonderful Dharma
妙華	Wonderful Flower
廟會信仰層次不同	Temple Fairs: different levels of beliefs
妙吉祥	Wondrous Auspiciousness
妙妙妙	Wonderful, Wonderful, Wonderful
妙人	A Wondrous Person
妙善知識	A Wondrous and Virtuous Mentor
妙心	A Wondrous Mind
妙心成就	A Wondrous Mind Leads to Success
妙心吉祥	A Wondrous Mind Brings Auspiciousness
妙語春風	Wonderful Words Are Like Warm Spring Breezes
明鏡高懸　老天有眼	"A Bright Mirror Hung High; 
Heaven is watching."
明淨山水	Clear and Pure Mountain and Water
明天還是要繼續不會嘆息	Tomorrow Still Have to Continue: no more sighs
明天會更好奮發必成	Tomorrow Will Be Better: strive for success
明投暗合　別有玄機	"Merging of Light and Darkness; 
Another state of profound meaning."
明心見性	Think Positively
明心見性	Understand One's Mind and See One's True Nature
明心見性	Understand One's Mind and See One's Instrinsic Nature
明心見性　找到自己	"Realize the Mind and See One's Intrinsic Nature; 
To find yourself."
明心人	A Clear-Minded Person
明心悟道	A Clear Mind Awakens to the Way
明因識果	Understand Causes and Recognize Effects
明月當空	A Shining Moon High in the Sky
明月千里寄相思心如明月	The Moon Sends My Love from Afar: heart bright as the moon
明月星光	Bright Moon, Shining Stars
明知故犯　不懷好意	"Deliberate Violation; 
To harbor malicious intents."
明珠寶藏	Shining Jewel and Treasure
命若懸絲　危在旦夕	"Life Hanging by a Thread; 
Facing immediate danger."
冥陽兩利　生亡受益	"Benefiting Both the Living and Deceased; 
Gains for all."
默擯置之　不要睬他	"Give the Cold Shoulder; 
To ignore someone."
默觀	Silent Contemplation
茉莉花綻放美麗芬芳	Jasmine Flower: beautiful and fragrant flowers
陌路相逢　或有轉機	"A Chance Encounter; 
It may be a turning point."
磨磚作鏡　去痴見道	"To Polish a Brick into a Mirror; 
Extinguish ignorance and see the Way."
目瞪口呆　受到驚嚇	"To Be Struck Dumb; 
Frightened to death."
目機銖兩　別具慧眼	"A Keen Eye for Detail; 
Shrewd perspective."
木棉道落花熱情燃燒	Kapok Road: wilting flowers, burning passion
"木食草衣心如月，
一生無念復無涯；
世人若問居何處，
綠水青山是吾家。"	"Coarse food, ragged clothes, and a moon-like heart,
An entire life of selflessness, I come near infinity;
Shall people ask me where I live,
Verdant water, and green mountains are my home."
衲僧鼻孔　佛道根本	"The Nostril of a Chan Master; 
The essence of Buddhist practice."
男大須婚　綱常倫理	"Grown Sons Should Marry; 
Family obligations and ethics. "
男兒當自強比日光亮	A Man Should Better Himself: brighter than the sun
南屏晚鐘唱醒迷夢	Nan Ping Evening Bells: dreams awakened
南無阿彌陀佛	Homage to Amitabha Buddha
南無觀世音菩薩	Homage to Avalokitesvara Bodhisattva
內觀自在	Attain Perfect Ease Through Contemplation
內外一如	Unity of the Outer and Inner Self
能動能靜	Enjoy Both States of Being Still and Active
能所雙忘　超越彼此	"Forgetting Subject and the Object; 
Transcending both."
能知善用	Learn to Use Your Knowledge Wisely
泥船渡河　不堪負荷	"Mud Boat Crossing the River; 
Cannot bear much weight."
泥多佛大　水漲船高	"The More Clay, the Larger the Buddha; 
The higher the tide, the higher the boat."
泥牛入海　絕了消息	"A Mud Ox Entering the Sea; 
To vanish with no news."
泥塑木雕　藉假修真	"Clay Sculpture and Wood Carving; 
Think it till one believes it."
泥娃娃無親大家愛它	Clay Doll: adored by all
泥中洗土　越洗越髒	"Washing Soil in the Mud; 
To make it worse."
逆水行舟　奮起向前	"A Boat Against the Current; 
To forge ahead with high spirits and vigor."
逆增上緣　逆向成就	"Treat Adverse Conditions as Contributory Conditions; 
Setbacks can be the cause of success."
你好	How Are You
你儂我儂相互友好	You and I: close and intimate
你死我活　鬥爭激烈	"A Struggle of Life and Death; 
Fierce competition."
你我感動	You and I are Moved
念佛第一	Chanting the Buddha's Name As Priority
"念佛無非念自心，
自心是佛莫他尋；
眼前林樹並池沼，
晝夜還能演法音。"	"Mindfulness of the Buddha is mindfulness of the heart,
One’s heart is a buddha, so seek nowhere else,
The trees and lakes before one’s eyes
Can voice even the Dharma day and night."
念念不忘　惦記在心	"Constantly Keep in Mind; 
Near to one's heart."
拈花微笑　傳授密意	"Buddha’s Flower and Kasyapa’s Smile; 
Passing on the hidden teaching."
拈香擇火　虔誠恭敬	"Offering Incense; 
Sincerely and respectfully."
年輕不要留白放開胸懷	Live While We’re Young: an open heart
捏目生花　迷惑幻相	"Rubbing the Eyes to See Visions; 
Lost in delusion."
涅槃妙心	Nirvana as Wondrous Mind
寧靜	Serenity
牛鬼蛇神　遠離為要	"Demons and Monsters; 
Best kept at a far distance."
牛頭馬面　鬼使神差	"Guardians of the Underworld; 
Messengers of ghosts and deities."
弄光影漢　僅見表相	"Take the Shadow for the Substance; 
Superficial view."
弄巧成拙　好事變樣	"To Outsmart Oneself; 
Things go the wrong way."
女長須嫁　人間世情	"Marry off a Grown Up Daughter; 
The way it is."
奴郎不辨　主僕難分	"Confusing the Servant for the Master; 
Unable to distinguish between them."
盼望有緣四海交流	Hope: for affinities with the entire world
拋頭露面　有失體統	"Breaking Decorum; 
Against propriety."
拋磚引玉　為善示範	"To Throw Out a Minnow to Catch a Whale; 
Setting an exemplary precedent."
培養善緣	Foster Good Conditions
朋友相交如同手足	Friends: like brothers and sisters
披毛戴角　投作畜生	"Clothed in Fur and Horn; 
Rebirth as an animal."
披星戴月　精進不懈	"Under the Moon and Stars; 
Unwavering diligence."
毘尼日用　生活律儀	"Daily Practice of Vinaya; 
Moral discipline in everyday living."
琵琶怨哀愁紅顏薄命	The Sorrowful Pipa: beauty with an unfortunate life
皮紙骨筆　捨身求道	"Willing to Give an Arm and a Leg; 
Self-sacrifice for the Way."
飄洋過海來看您望能相依	Cross the Ocean to See You: waiting to be in your arms again
品味	Elegance
貧無立錐　窮愁潦倒	"Utterly Destitute; 
Despairingly poor."
平安	Safety and Peace
平步青雲	Be On a Steady Rise
平常心	Ordinary Mind
平常心是道	Ordinary Mind is the Way
平等忍	Universal Tolerance
平地登天　福德超人	"To Ascend to Heaven; 
To exceed others in merits and virtue."
萍水自在	As Free As Drifting Duckweed
破顏微笑　面露笑容	"Break into a Smile; 
Put a smile on your face."
普慈一切	Universal Compassion
普度眾生　饒益有情	"Liberate and Benefit All Sentient Beings; 
Have compassion and benefit all sentient beings."
普門示現　慈悲廣大	"Universal Manifestation; 
Vast loving-kindness and compassion."
普同供養　利和同均	"Universal Offering; 
Equal benefits for all."
菩薩道念	A Bodhisattva's Aspiration
菩薩低眉　俯視群生	"A Bodhisattva's Gaze; 
Compassion for sentient beings."
菩薩氣度	The Bodhisattva Spirit
菩薩情懷	The Heart of a Bodhisattva
菩薩畏因 眾生畏果	Bodhisattvas Fear the Cause, Sentient Beings Fear the Effect
菩薩心腸　仁慈善良	"The Heart of a Bodhisattva; 
Compassionate and kind."
菩薩學處	A Bodhisattva's Learning
"菩提本無樹，明鏡亦非台，
本來無一物，何處惹塵埃？"	"Bodhi was a never tree,
Nor the bright mirror a stand;
Since nothing ever was,
Where can the dusts alight?"
菩提樹靜坐睹星悟道	Bodhi Tree: sitting and gazing upon the stars, realizing the Truth
菩提心	Bodhi Mind
菩提真心	The True Bodhi Mind
七出八沒　了悟內容	"All Bases Covered; 
Fully apprehending the essence."
七顛八倒　昏頭轉向	"Topsy-Turvy; 
Confused and disorderly."
七級浮屠　重重無盡	"Seven-Storey Pagoda; 
Endless layers."
七零八落　支離破碎	"Everything Falling Apart; 
Shattered into pieces."
七情六慾　煩惱來源	"Seven Emotions, Six Desires; 
Source of affliction."
七上八下　心神不定	"Heart-Pounding Nervousness; 
An unsettled mind."
七手八腳　動作忙亂	"Too Many Cooks in the Kitchen; 
To be in a flutter."
七縱八橫　往來自如	"Through and Across; 
Coming and going in perfect ease."
期待再相會情誼萬千	Looking Forward to Meet Again: profound friendship
騎驢覓驢　不知本是	"Looking for the Donkey When Riding on It; 
Unaware of one's original nature."
棄明投暗　自甘墮落	"Out of the Light and into the Darkness; 
To abandon oneself."
起模畫樣　如法炮製	"Create a Replica; 
To imitate what others did."
祈求希望眾生得度	A Prayer: a wish for all beings to be liberated
氣勢	Imposing Manner
氣象萬千	Majestic in All Its Variety
祇樹有緣　善願必成	"An Affinity with Jetavana; 
Good wishes will come true."
漆桶底脫　忽然明白	"Flash of Insight; 
Sudden understanding."
謙卑	Humbleness
謙恭尊重	Be Modest and Respectful
謙能受益	Humbleness Brings Good
謙虛受教	Be Modest and Open to Instructions
謙以待人	Be Humble in Dealing with People
前世今生　生命流轉	"Past and Present Lifetimes; 
The cycle of life."
前因後果　果必有因	"Past Causes and Future Effects; 
Effects must have causes."
牽手夫婦樂天知命	Holding Hands: happy husband and wife
遷單擯出　驅逐離開	"Expelled From the Monastery; 
Driven out and banished."
千差萬別　種類繁雜	"Manifold Diversity; 
A wide and complex variety."
"千峯頂上一間屋，
老僧半間雲半間；
昨夜雲隨風雨去，
到頭不似老僧閒。"	"A single hut atop a thousand peaks,
This old monk resides between the clouds;
Last night, they were taken away by the storm,
Making the old monk look busier than before."
千家萬戶　社會繁榮	"Thousands of Families and Households; 
A prosperous society."
千里迢迢　路途遙遠	"Miles and Miles Away; 
A long, faraway road."
千里同風　說法圓通	"The Same Wind Blows a Thousand Miles; 
Unobstructed in speaking the Dharma."
"千里投書只為牆，
讓他三尺有何妨；
萬里長城今猶在，
不見當年秦始皇。"	"A letter sent across a thousand miles for merely a wall,
Does it matter if a foot of space is yielded?
Today, the Great Wall still stands,
But no longer seen is the First Emperor of Qin."
千里之外友誼不變	Faraway: friends forever
千奇百怪　花樣過多	"Fantastic Oddities of Every Description; 
Excessive ways of doing."
千山萬水	Crossing Mountains and Rivers
千生萬死　痛苦難熬	"A Thousand Births and Ten Thousand Deaths; 
An unbearable ordeal.
"
千邪百怪　妖魔鬼眾	"Nefarious Army of Monsters; 
A multitude of demons and ghosts."
千辛萬苦　百般勞碌	"Untold Pain and Suffering; 
Toiling in every possible way."
敲骨吸髓　剝削壓榨	"Bleed Someone Dry; 
To exploit and oppress."
敲枷打鎖　解脫束縛	"Throw Off the Shackles; 
To liberate from constraints."
敲門瓦子　進身之階	"Stepping Stones; 
The stages to one's promotion."
敲敲門問您花有開否	Knock Knock: have the flowers bloomed yet?
敲磚打瓦　還未全知	"Knocking the Bricks, Hitting the Tiles; 
Not knowing the full picture."
勤能補拙	A Lack of Talent Can Be Made Up By Hard Work
傾腸倒腹　毫無隱瞞	"Spill One's Guts; 
Hold nothing back."
慶快平生　歡喜安樂	"Content with One's Life; 
Joy and peace."
青春舞曲熱情洋溢	Faded Beauty: full of passion
青燈黃卷　深夜苦讀	"Yellow Scrolls Under a Dim Light; 
Study far into the night."
青青河邊草伴我到老	Green, Green Is the Grass by the River: till death do us part
青山不老	Green Mountains Don't Turn Old
"青山幾度變黃山，
世事紛飛總不干；
眼內有塵三界窄，
心頭無事一床寬。"	"Many a time have green mountains turned yellow,
Despite the troublesome worldly affairs I stay free;
Dust in the eye makes even the Three Realms seem small,
A carefree mind sleeps always on a bed spacious and wide."
青山綠水　當下即是	"Green Mountains and Clear Waters; 
The moment as it is."
清白人生	A Purified Life
清風高誼	Clear Breeze and High Nobility
清規戒律　華梵法治	"Upholding Pure Rules and Precepts; 
Good governance."
清淨真如海	Pure Tathata like the Ocean
清涼法水　消災免難	"Invigorating Dharma Water; 
Free from difficulties and relieved of calamities."
清涼自在	Refreshing and Free
清涼自在	Remain Calm and At Perfect Ease
"清湘西山寺無量壽塔
黄花翠竹真如性，
大地山河清淨身。
欲識今時無量壽，
不知瞻禮是何人。"	"On Wuliang Shou Pagoda Wall at Qingxiang Xishan Temple
Yellow flowers and green bamboo are thus natural,
The Earth, mountains and rivers, His pure body.
Wanting to recognize the infinite life in this moment,
Without knowing to whom one’s homage is paid."
"清夜無塵月似秋，
放舟淮水入江流；
風帆載我歸何處，
海闊天空一任游。"	"An Autumn Moon in the Clear, Dustless Night
An autumn moon in the clear, dustless night,
A boat sails atop the waters of River Huai;
Willl the sail take me to that place called home?
Beneath the endless sky and boundless ocean—I travel."
情理難容　無法寬宥	"Unforgivable Circumstances; 
Intolerable."
情生智隔　蒙蔽心慧	"Wisdom Clouded by Emotions; 
Deceiving one's mind."
情同骨肉　情誼深厚	"Like One's Flesh and Blood; 
To share deep sentiments and affection."
情義人生	A Life Lived in Commitment and Righteousness
秋蟬歌唱難過冬防	Autumn Cicada: singing throughout the long cold night
秋詞感傷擁在心上	Song of Autumn: heart-felt sentiments
求真求全	Pursuit of the Truest and Most Complete
去偽存真　轉識成智	"Removing Illusions, Retaining the Truth; 
Transforming knowledge into wisdom."
去粘解縛　隨緣自在	"Remove Attachments and Untie Strings; 
Follow conditions with perfect ease."
全力以赴	Give Your Best Effort
全始全終	From Beginning to End
全唐詩	Complete Collection of Tang Poems
全心服務	Serve With Wholeheartedness
群魔亂舞　胡作非為	"Demons Dancing; 
Running amok."
讓我們看雲去內心愁緒	Let’s Go Watching Clouds: a sad heart
饒益有情	Have Compassion and Benefit All Sentient Beings
饒益有情　利益大眾	"Have Compassion and Benefit All Sentient Beings; 
To benefit everyone."
仁慈行者	A Practitioner of Benevolence and Compassion
仁慈修心	Cultivate the Mind with Compassion
仁和安康  富樂吉祥	May Benevolence and Harmony Bring Peaceful Wellbeing, Let Abundance and Joy Yield Auspiciousness in Our Lives
仁厚	Benevolence and Honesty
人道路上是非一場	Humanity: a matter of right and wrong
人貴知心	Understanding Is Most Valuable Among People
人和	Busy in Body but Free in Mind
人和為貴	Harmony is Precious
人間地獄　五濁惡世	"Hell in the Human World; 
Saha World: the world of Five Turbidities."
人間佛教　善美淨化	"Humanistic Buddhism; 
Virtuous, beautiful, and pure."
人間歡喜	Joy in the Human World
人間吉祥	Auspiciousness in the World
人間淨土	Pureland on Earth
人間菩薩	Bodhisattvas in the World
人間情義	Sentiment and Righteousness in the World
人間萬象變幻無常	Mortal World: changes in manifold
人忙心閒	Busy in Body but Free in Mind
人忙心閑	Busy in Body but Free in Mind
仁人之心	A Mind of Benevolence
仁山智海	Mountain of Benevolence and Ocean of Wisdom
仁山智水	Benevolent as Mountain; Wise as Water
仁心益世	A Benevolent Mind Benefits the World
仁義傳家	A Family Tradition of Benevolence and Righteouness
仁者無敵	The Benevolent Has No Enemies
仁至義盡	Do All That You Can to Help Others
忍俊不禁　無法克制	"Can't Help Laughing; 
Uncontrollable."
忍力增上	Patient Endurance Yields Advancement
忍辱負重　承擔苦難	"To Suffer in Silence; 
To tolerate all kinds of hardship."
忍無可忍　還是要忍	"More Than One Can Bear; 
Hang in there."
忍者有力	The Tolerant are Strong
認奴作郎　顛倒關係	"Mistaking the Servant for the Master; 
Distorting roles."
認識自己	Know Yourself
認賊為子　識人不明	"Take a Thief as One's Son; 
Discerning others incorrectly."
人貧志短　徒勞自困	"Poverty Shortens Aspirations; 
Trapped in futility."
